"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","GBR.BCA_NGDPD.A","OBS_VALUE","United Kingdom","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.381","-0.264","-0.140","-0.282","-2.115","-1.831","-1.773","-1.973","-1.823","-2.302","-1.998","-3.120","-3.729","-3.862","-3.068","-2.761","-1.630","-3.146","-4.644","-5.022","-4.948","-5.448","-3.493","-3.927","-2.688","-2.934","-0.437","-2.102","-3.509"
"IMF.RES:WEO(9.0.0)","USA.GGX_NGDP.A","OBS_VALUE","United States","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","32.801","33.698","34.037","33.719","33.928","33.692","34.562","37.144","41.399","39.763","38.796","37.223","35.782","35.324","35.031","35.333","35.194","35.349","35.819","44.722","43.201","36.790","37.650"
"IMF.RES:WEO(9.0.0)","AUT.BCA_NGDPD.A","OBS_VALUE","Austria","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.876","-2.854","-2.559","-1.863","-2.270","-0.710","-0.800","2.118","1.557","2.092","2.274","3.318","3.826","4.520","2.613","2.873","1.641","1.492","1.748","2.397","1.577","2.574","1.264","0.846","2.376","3.367","1.735","-0.862","1.341"
"IMF.RES:WEO(9.0.0)","USA.GGXWDG_NGDP.A","OBS_VALUE","United States","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","53.485","55.859","58.956","66.439","65.778","64.531","64.948","73.845","87.070","95.644","100.020","103.659","105.003","104.930","105.424","107.380","106.374","107.625","108.751","132.513","125.009","119.104","119.836"
"IMF.RES:WEO(9.0.0)","GBR.GGX_NGDP.A","OBS_VALUE","United Kingdom","Expenditure, General government, Percent of GDP","Annual","Units","37.631","35.716","34.891","34.466","33.904","33.936","34.660","35.941","37.213","38.037","38.439","38.415","38.654","40.958","44.629","44.705","43.503","43.553","41.840","41.184","40.425","39.632","39.155","38.871","38.763","49.987","45.753","44.099","44.829"
"IMF.RES:WEO(9.0.0)","BEL.NGDP_RPCH.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.385","1.321","3.793","1.962","3.543","3.717","1.100","1.707","1.038","3.571","2.322","2.553","3.677","0.447","-1.906","2.710","1.931","0.216","0.306","1.766","1.474","1.193","1.475","1.878","2.443","-4.793","6.207","4.260","1.202"
"IMF.RES:WEO(9.0.0)","AUT.PCPIPCH.A","OBS_VALUE","Austria","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.611","1.771","1.167","0.817","0.516","1.956","2.302","1.681","1.302","1.964","2.102","1.686","2.200","3.230","0.406","1.691","3.542","2.569","2.118","1.465","0.810","0.973","2.228","2.122","1.493","1.392","2.760","8.619","7.712"
"IMF.RES:WEO(9.0.0)","DNK.GGR_NGDP.A","OBS_VALUE","Denmark","Revenue, General government, Percent of GDP","Annual","Units","55.241","55.807","54.958","55.319","55.730","54.661","54.122","53.349","53.641","55.025","56.257","54.997","54.763","53.745","53.583","53.995","54.525","54.703","54.636","56.530","53.523","52.654","52.290","51.565","54.090","53.702","53.826","48.478","50.828"
"IMF.RES:WEO(9.0.0)","DNK.BCA_NGDPD.A","OBS_VALUE","Denmark","Current account balance (credit less debit), Percent of GDP","Annual","Units","1.003","1.648","1.315","-0.149","2.530","1.991","3.644","2.997","3.925","4.035","4.052","3.180","1.292","2.865","3.586","6.415","6.346","6.064","7.368","8.402","7.957","7.088","7.323","6.307","7.446","7.226","8.548","11.163","11.005"
"IMF.RES:WEO(9.0.0)","AUT.GGXCNL_NGDP.A","OBS_VALUE","Austria","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.174","-4.381","-2.384","-2.683","-2.628","-2.075","-0.712","-1.426","-1.839","-4.941","-2.588","-2.609","-1.561","-1.572","-5.381","-4.465","-2.482","-2.177","-1.993","-1.923","-0.476","-1.451","-0.776","0.195","0.536","-8.204","-5.694","-3.306","-2.620"
