Model,Period,N,RMSE,MAE,R2,Mean_Actual,Mean_Predicted,Mean_Error
Linear Regression,Pre-COVID (2017-19),483,2.453,1.595,0.457,3.25,3.33,-0.08
Linear Regression,COVID shock (2020),160,10.643,8.525,-1.148,-4.41,3.48,-7.89
Linear Regression,Recovery (2021-22),320,6.924,4.366,-0.367,5.47,2.53,2.94
Linear Regression,Post-COVID (2023),160,2.92,2.203,0.326,3.32,3.4,-0.08
Linear Regression,Full test (2020-23),640,7.377,4.865,-0.08,2.47,2.99,-0.52
Elastic Net,Pre-COVID (2017-19),483,2.44,1.567,0.462,3.25,3.34,-0.1
Elastic Net,COVID shock (2020),160,10.549,8.471,-1.111,-4.41,3.46,-7.87
Elastic Net,Recovery (2021-22),320,6.94,4.381,-0.373,5.47,2.43,3.05
Elastic Net,Post-COVID (2023),160,2.76,2.084,0.398,3.32,3.49,-0.17
Elastic Net,Full test (2020-23),640,7.335,4.829,-0.068,2.47,2.95,-0.48
SVR,Pre-COVID (2017-19),483,2.825,1.44,0.28,3.25,3.61,-0.37
SVR,COVID shock (2020),160,10.892,8.722,-1.25,-4.41,3.78,-8.19
SVR,Recovery (2021-22),320,6.199,3.654,-0.096,5.47,4.01,1.47
SVR,Post-COVID (2023),160,3.635,2.308,-0.044,3.32,4.35,-1.03
SVR,Full test (2020-23),640,7.223,4.584,-0.035,2.47,4.04,-1.57
Random Forest,Pre-COVID (2017-19),483,2.158,1.36,0.58,3.25,3.3,-0.05
Random Forest,COVID shock (2020),160,10.318,8.254,-1.019,-4.41,3.29,-7.7
Random Forest,Recovery (2021-22),320,6.249,3.946,-0.113,5.47,3.16,2.32
Random Forest,Post-COVID (2023),160,2.803,2.123,0.379,3.32,4.03,-0.71
Random Forest,Full test (2020-23),640,6.935,4.568,0.046,2.47,3.41,-0.94
XGBoost,Pre-COVID (2017-19),483,1.565,1.154,0.779,3.25,3.22,0.03
XGBoost,COVID shock (2020),160,10.321,8.215,-1.021,-4.41,3.24,-7.64
XGBoost,Recovery (2021-22),320,7.006,4.368,-0.4,5.47,3.41,2.07
XGBoost,Post-COVID (2023),160,3.009,2.32,0.284,3.32,4.15,-0.83
XGBoost,Full test (2020-23),640,7.31,4.818,-0.06,2.47,3.55,-1.08
