COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag
"South Sudan, Republic of",2025,0.9722209726524206,High,1
"South Sudan, Republic of",2024,0.9701949108459484,High,1
Ukraine,2024,0.9669178430477584,High,1
Lebanon,2025,0.962371356253364,High,1
Cabo Verde,2024,0.9364281255797998,High,1
"Palau, Republic of",2025,0.9287451100577588,High,1
"South Sudan, Republic of",2026,0.9216240152808288,High,1
Mongolia,2024,0.920470530247536,High,1
"Palau, Republic of",2026,0.9142025235104334,High,1
Sudan,2025,0.9115054291187382,High,1
Sudan,2024,0.9106606910741052,High,1
Ukraine,2025,0.9086284968612994,High,1
Suriname,2026,0.8899450076406786,High,1
Argentina,2025,0.8755752210227135,High,1
"Venezuela, República Bolivariana de",2024,0.8746414832190945,High,1
"Palau, Republic of",2024,0.8660428000588986,High,1
Ukraine,2026,0.864195974220269,High,1
Burundi,2025,0.8635230354956083,High,1
Burundi,2026,0.860700390619497,High,1
Cabo Verde,2025,0.8602978003082209,High,1
