COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag
Australia,2026,0.0113874315765598,Low,0
Jordan,2026,0.0116772162284141,Low,0
Indonesia,2025,0.0116999773893124,Low,0
"Tanzania, United Republic of",2026,0.0123649138888058,Low,0
Switzerland,2025,0.0124908682356512,Low,0
Indonesia,2026,0.0125072325498004,Low,0
South Africa,2026,0.0129254824991862,Low,0
Malaysia,2026,0.0130359010118761,Low,0
Uruguay,2026,0.0131919391425598,Low,0
Switzerland,2026,0.0132241791882401,Low,0
Philippines,2025,0.0136639918008455,Low,0
Belgium,2026,0.0137229815799421,Low,0
"Kosovo, Republic of",2026,0.0137530157480438,Low,0
India,2025,0.0138904237876269,Low,0
Dominican Republic,2026,0.0139995565754231,Low,0
India,2026,0.0141773930544444,Low,0
Benin,2026,0.0143228735001381,Low,0
Cameroon,2025,0.0148385151688938,Low,0
Thailand,2026,0.0148583185046314,Low,0
Sweden,2026,0.0155653617042039,Low,0
