COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag,Crisis_Flag,Stability_Category,GDP_Growth,Instability_Index
Australia,2026,0.0113874315765598,Low,0,0,Moderate,2.009,19.42549405724548
Jordan,2026,0.0116772162284141,Low,0,0,Stable,2.748,3.826651861056798
Indonesia,2025,0.0116999773893124,Low,0,0,Stable,5.108,1.1319436950859003
"Tanzania, United Republic of",2026,0.0123649138888058,Low,0,0,Stable,5.94,10.921391007476052
Switzerland,2025,0.0124908682356512,Low,0,0,Stable,1.272,2.206823747474339
Indonesia,2026,0.0125072325498004,Low,0,0,Stable,4.95,0.9869390442314064
South Africa,2026,0.0129254824991862,Low,0,0,Stable,1.049,11.25423837145213
Malaysia,2026,0.0130359010118761,Low,0,0,Stable,4.7,6.843213042381113
Uruguay,2026,0.0131919391425598,Low,0,0,Stable,1.8,8.6945119734623
Switzerland,2026,0.0132241791882401,Low,0,0,Stable,1.342,2.028194041159603
Philippines,2025,0.0136639918008455,Low,0,0,Stable,4.403,4.900439911460136
Belgium,2026,0.0137229815799421,Low,0,0,Stable,0.661,11.117977080423715
"Kosovo, Republic of",2026,0.0137530157480438,Low,0,0,Stable,3.3,11.293409316118714
India,2025,0.0138904237876269,Low,0,0,Stable,7.618,15.613843781966894
Dominican Republic,2026,0.0139995565754231,Low,0,0,Stable,3.72,8.668080188609125
India,2026,0.0141773930544444,Low,0,0,Stable,6.478,11.81409909039616
Benin,2026,0.0143228735001381,Low,0,0,Stable,6.972,13.984256809412887
Cameroon,2025,0.0148385151688938,Low,0,0,Stable,3.073,8.061034455730988
Thailand,2026,0.0148583185046314,Low,0,0,Stable,1.5,8.215809214425265
Sweden,2026,0.0155653617042039,Low,0,0,Stable,1.963,3.942869976337896
