COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag,Crisis_Flag,Stability_Category,GDP_Growth,Instability_Index,Prediction_Correct
"South Sudan, Republic of",2024,0.9701949108459484,High,1,1,Crisis,-26.141,91.07743837912234,1
Ukraine,2024,0.9669178430477584,High,1,1,Crisis,3.248,74.4419671819259,1
Cabo Verde,2024,0.9364281255797998,High,1,1,Crisis,7.244,79.78601561921457,1
Mongolia,2024,0.920470530247536,High,1,1,Crisis,5.122,61.931888892935326,1
Sudan,2024,0.9106606910741052,High,1,1,Crisis,-23.363,65.93698458765168,1
"Venezuela, República Bolivariana de",2024,0.8746414832190945,High,1,1,Crisis,5.298,68.27491251464907,1
"Palau, Republic of",2024,0.8660428000588986,High,1,1,Crisis,12.006,89.22797739814241,1
"Bahamas, The",2024,0.8573125493838697,High,1,1,Crisis,3.379,57.13416267676612,1
Oman,2024,0.8476889919989409,High,1,0,Unstable,1.634,48.73866880192222,0
Lebanon,2024,0.8284539316822975,High,1,1,Crisis,-7.5,80.0011180140304,1
Greece,2024,0.820911563386657,High,1,1,Crisis,2.087,61.27106063150581,1
Seychelles,2024,0.8197035300606621,High,1,0,Unstable,3.351,42.45558001817393,0
Sri Lanka,2024,0.8087417755551995,High,1,1,Crisis,5.009,76.74529672085356,1
St. Lucia,2024,0.7993465339325156,High,1,1,Crisis,4.688,58.47975308705102,1
"Equatorial Guinea, Republic of",2024,0.7901639866775527,High,1,0,Unstable,0.882,51.30152607989566,0
Argentina,2024,0.7801351948243551,High,1,1,Crisis,-1.343,71.68648528901508,1
Zambia,2024,0.7759892971040356,High,1,0,Unstable,3.82,44.9532106357972,0
Angola,2024,0.7731779552376599,High,1,0,Unstable,4.953,52.12139126350135,0
Guyana,2024,0.768527828162511,High,1,1,Crisis,43.776,58.3445274660989,1
Kiribati,2024,0.7601420476187178,High,1,1,Crisis,4.629,56.005967034613285,1
Montenegro,2024,0.7548401871968597,High,1,1,Crisis,3.164,62.24945028910691,1
Suriname,2024,0.7494395885509345,High,1,1,Crisis,1.721,61.25395838178373,1
"Croatia, Republic of",2024,0.7489741195923285,High,1,1,Crisis,3.827,55.893176487553134,1
Dominica,2024,0.748425086536223,High,1,1,Crisis,3.539,56.31312657433729,1
Qatar,2024,0.746787796025003,High,1,0,Unstable,2.36,37.80227588502334,0
"Azerbaijan, Republic of",2024,0.7462438880800547,High,1,1,Crisis,4.156,57.04020792493245,1
Maldives,2024,0.7385110478458312,High,1,0,Unstable,3.072,46.06792959378454,0
Libya,2024,0.7337464627046224,High,1,1,Crisis,4.19,54.745704339048906,1
Senegal,2024,0.7183720399503667,High,1,1,Crisis,6.143,60.93312669429282,1
"Bahrain, Kingdom of",2024,0.7070186746038966,High,1,0,Unstable,2.897,41.96519682375645,0
Ghana,2024,0.6995747458072187,High,1,1,Crisis,5.847,71.14156014333946,1
Cyprus,2024,0.6860580048425632,High,1,1,Crisis,3.941,52.90162686756416,1
Chile,2024,0.6831858561574407,High,1,0,Unstable,2.644,46.1222098690674,0
Hungary,2024,0.6825941237074322,High,1,0,Unstable,0.56,45.62519843719463,0
Colombia,2024,0.6689399518375392,High,1,1,Crisis,1.493,58.252722387219485,1
Burkina Faso,2024,0.6535023660340332,High,1,0,Unstable,4.8,50.06974846911682,0
Chad,2024,0.651310289089619,High,1,0,Unstable,5.013,36.77068743618127,0
"Lithuania, Republic of",2024,0.6464704391215575,High,1,0,Unstable,2.983,46.23134517236221,0
Kuwait,2024,0.6450996277286833,High,1,0,Moderate,-1.474,32.80135061348251,0
Norway,2024,0.6428186782716694,High,1,1,Crisis,1.424,60.44116865098436,1
"Mauritania, Islamic Republic of",2024,0.6426168425940854,High,1,0,Unstable,6.308,36.0823850601959,0
"Türkiye, Republic of",2024,0.6419371964058772,High,1,0,Unstable,3.328,52.43175153550527,0
Lao People's Democratic Republic,2024,0.6370958558967438,High,1,1,Crisis,4.299,64.25197293526573,1
Kyrgyz Republic,2024,0.6357978000853933,High,1,1,Crisis,11.54,54.081659429270886,1
"Moldova, Republic of",2024,0.6194003792953588,High,1,0,Unstable,0.3,39.36935089091373,0
Russian Federation,2024,0.6192299187907588,High,1,0,Moderate,4.922,31.494104900555868,0
"Belarus, Republic of",2024,0.6157792623358372,High,1,0,Unstable,4.35,33.75195918859413,0
Georgia,2024,0.6095290014148251,High,1,0,Unstable,9.68,39.19338921855098,0
Malta,2024,0.6074544295548444,High,1,0,Unstable,6.213,44.45720120453446,0
"Armenia, Republic of",2024,0.5978976299962925,Moderate,0,0,Unstable,5.857,39.30681616358058,1
Slovak Republic,2024,0.5929974635590259,Moderate,0,0,Unstable,1.939,39.07273870991583,1
Ireland,2024,0.5864812250504203,Moderate,0,1,Crisis,2.599,62.6666434179364,0
Nicaragua,2024,0.5804005916219772,Moderate,0,0,Unstable,3.581,52.39178518412101,1
Belize,2024,0.5760620698351266,Moderate,0,0,Unstable,3.505,45.7937429070738,1
"Congo, Republic of",2024,0.5722207216149503,Moderate,0,0,Moderate,2.112,32.984328865006084,1
Saudi Arabia,2024,0.5585713434923955,Moderate,0,0,Moderate,2.649,31.79740190883413,1
"Afghanistan, Islamic Republic of",2024,0.5579476312857407,Moderate,0,0,Unstable,1.873,39.95847607222888,1
"Mozambique, Republic of",2024,0.5566561820711833,Moderate,0,0,Unstable,2.149,39.514544833305415,1
Mauritius,2024,0.5480902890383467,Moderate,0,0,Unstable,4.925,44.84502459466265,1
"Lesotho, Kingdom of",2024,0.5456206960993316,Moderate,0,0,Unstable,4.9,46.55345638675192,1
