COUNTRY,YEAR,Instability_Index_lag1_Predicted,Best_EWS_Model,Crisis_Probability,Risk_Level,Early_Warning_Flag,GDP_Growth,Instability_Index,Instability_Index_lag1_IMF_Projection,Stability_Category,Crisis_Flag,Prediction_Correct
"South Sudan, Republic of",2024,92.45517526300422,Extra Trees,0.9701949108459484,High,1,-26.141,91.07743837912234,92.45517526300422,Crisis,1,1
Ukraine,2024,81.99123457975467,Extra Trees,0.9669178430477584,High,1,3.248,74.4419671819259,81.99123457975467,Crisis,1,1
Cabo Verde,2024,95.70927061383571,Extra Trees,0.9364281255797998,High,1,7.244,79.78601561921444,95.70927061383571,Crisis,1,1
Mongolia,2024,84.43609026810867,Extra Trees,0.920470530247536,High,1,5.122,61.93188889293513,84.43609026810867,Crisis,1,1
Sudan,2024,85.97139479723315,Extra Trees,0.9106606910741052,High,1,-23.363,65.93698458765168,85.97139479723315,Crisis,1,1
"Venezuela, República Bolivariana de",2024,72.99268173669604,Extra Trees,0.8746414832190945,High,1,5.298,68.27491251464907,72.99268173669604,Crisis,1,1
"Palau, Republic of",2024,68.00795323519608,Extra Trees,0.8660428000588986,High,1,12.006,89.22797739814234,68.00795323519608,Crisis,1,1
"Bahamas, The",2024,75.69961683914742,Extra Trees,0.8573125493838697,High,1,3.379,57.13416267676581,75.69961683914742,Crisis,1,1
Oman,2024,62.75152641541228,Extra Trees,0.8476889919989409,High,1,1.634,48.73866880192222,62.75152641541228,Unstable,0,0
Lebanon,2024,93.6164960612384,Extra Trees,0.8284539316822975,High,1,-7.5,80.0011180140304,93.6164960612384,Crisis,1,1
Greece,2024,77.94405908841748,Extra Trees,0.820911563386657,High,1,2.087,61.27106063150581,77.94405908841748,Crisis,1,1
Seychelles,2024,61.050632911825815,Extra Trees,0.8197035300606621,High,1,3.351,42.45558001817393,61.050632911825815,Unstable,0,0
Sri Lanka,2024,75.03458563014759,Extra Trees,0.8087417755551995,High,1,5.009,76.74529672085318,75.03458563014759,Crisis,1,1
St. Lucia,2024,80.42884270878399,Extra Trees,0.7993465339325156,High,1,4.688,58.47975308705072,80.42884270878399,Crisis,1,1
"Equatorial Guinea, Republic of",2024,75.64146794259773,Extra Trees,0.7901639866775527,High,1,0.882,51.30152607989533,75.64146794259773,Unstable,0,0
Argentina,2024,72.99545600914723,Extra Trees,0.7801351948243551,High,1,-1.343,71.68648528901508,72.99545600914723,Crisis,1,1
Zambia,2024,66.0379115439647,Extra Trees,0.7759892971040356,High,1,3.82,44.95321063579718,66.0379115439647,Unstable,0,0
Angola,2024,72.72735808187518,Extra Trees,0.7731779552376599,High,1,4.953,52.12139126350135,72.72735808187518,Unstable,0,0
Guyana,2024,67.88689292571131,Extra Trees,0.768527828162511,High,1,43.776,58.34452746609885,67.88689292571131,Crisis,1,1
Kiribati,2024,59.33437081493639,Extra Trees,0.7601420476187178,High,1,4.629,56.00596703461313,59.33437081493639,Crisis,1,1
Montenegro,2024,88.66561871316229,Extra Trees,0.7548401871968597,High,1,3.164,62.24945028910691,88.66561871316229,Crisis,1,1
Suriname,2024,74.2554896604674,Extra Trees,0.7494395885509345,High,1,1.721,61.25395838178373,74.2554896604674,Crisis,1,1
"Croatia, Republic of",2024,76.7029218612741,Extra Trees,0.7489741195923285,High,1,3.827,55.89317648755291,76.7029218612741,Crisis,1,1
Dominica,2024,73.08497180017919,Extra Trees,0.748425086536223,High,1,3.539,56.31312657433716,73.08497180017919,Crisis,1,1
Qatar,2024,65.17452215838844,Extra Trees,0.746787796025003,High,1,2.36,37.80227588502334,65.17452215838844,Unstable,0,0
"Azerbaijan, Republic of",2024,79.38173729428487,Extra Trees,0.7462438880800547,High,1,4.156,57.04020792493214,79.38173729428487,Crisis,1,1
Maldives,2024,68.49442424152835,Extra Trees,0.7385110478458312,High,1,3.072,46.06792959378417,68.49442424152835,Unstable,0,0
Libya,2024,57.840714056991175,Extra Trees,0.7337464627046224,High,1,4.19,54.745704339048906,57.840714056991175,Crisis,1,1
Senegal,2024,67.08393057566538,Extra Trees,0.7183720399503667,High,1,6.143,60.93312669429263,67.08393057566538,Crisis,1,1
"Bahrain, Kingdom of",2024,78.8316940292853,Extra Trees,0.7070186746038966,High,1,2.897,41.965196823756045,78.8316940292853,Unstable,0,0
Ghana,2024,74.56586217179586,Extra Trees,0.6995747458072187,High,1,5.847,71.14156014333906,74.56586217179586,Crisis,1,1
Cyprus,2024,75.36327047557333,Extra Trees,0.6860580048425632,High,1,3.941,52.901626867564026,75.36327047557333,Crisis,1,1
Chile,2024,67.74234699325608,Extra Trees,0.6831858561574407,High,1,2.644,46.12220986906722,67.74234699325608,Unstable,0,0
Hungary,2024,55.8352355115319,Extra Trees,0.6825941237074322,High,1,0.56,45.62519843719463,55.8352355115319,Unstable,0,0
Colombia,2024,56.28553203865153,Extra Trees,0.6689399518375392,High,1,1.493,58.25272238721936,56.28553203865153,Crisis,1,1
Burkina Faso,2024,66.55507160134466,Extra Trees,0.6535023660340332,High,1,4.8,50.06974846911682,66.55507160134466,Unstable,0,0
Chad,2024,56.212987583940446,Extra Trees,0.651310289089619,High,1,5.013,36.770687436180864,56.212987583940446,Unstable,0,0
"Lithuania, Republic of",2024,69.01704851370022,Extra Trees,0.6464704391215575,High,1,2.983,46.23134517236224,69.01704851370022,Unstable,0,0
Kuwait,2024,44.514563200823545,Extra Trees,0.6450996277286833,High,1,-1.474,32.80135061348251,44.514563200823545,Moderate,0,0
Norway,2024,80.64236162208721,Extra Trees,0.6428186782716694,High,1,1.424,60.441168650984295,80.64236162208721,Crisis,1,1
"Mauritania, Islamic Republic of",2024,54.3626521630826,Extra Trees,0.6426168425940854,High,1,6.308,36.08238506019581,54.3626521630826,Unstable,0,0
"Türkiye, Republic of",2024,48.72305830061711,Extra Trees,0.6419371964058772,High,1,3.328,52.43175153550499,48.72305830061711,Unstable,0,0
Lao People's Democratic Republic,2024,75.68006117042215,Extra Trees,0.6370958558967438,High,1,4.299,64.25197293526573,75.68006117042215,Crisis,1,1
Kyrgyz Republic,2024,66.64904727887084,Extra Trees,0.6357978000853933,High,1,11.54,54.08165942927071,66.64904727887084,Crisis,1,1
"Moldova, Republic of",2024,55.42438813829568,Extra Trees,0.6194003792953588,High,1,0.3,39.36935089091373,55.42438813829568,Unstable,0,0
Russian Federation,2024,53.45011391805316,Extra Trees,0.6192299187907588,High,1,4.922,31.494104900555868,53.45011391805316,Moderate,0,0
"Belarus, Republic of",2024,58.32353972721626,Extra Trees,0.6157792623358372,High,1,4.35,33.751959188594185,58.32353972721626,Unstable,0,0
Georgia,2024,61.81830238455154,Extra Trees,0.6095290014148251,High,1,9.68,39.19338921855071,61.81830238455154,Unstable,0,0
Malta,2024,58.05877228027565,Extra Trees,0.6074544295548444,High,1,6.213,44.45720120453433,58.05877228027565,Unstable,0,0
"Armenia, Republic of",2024,62.70716520741416,Extra Trees,0.5978976299962925,Moderate,0,5.857,39.306816163580415,62.70716520741416,Unstable,0,1
Slovak Republic,2024,61.543152477707,Extra Trees,0.5929974635590259,Moderate,0,1.939,39.07273870991583,61.543152477707,Unstable,0,1
Ireland,2024,72.30240885501553,Extra Trees,0.5864812250504203,Moderate,0,2.599,62.66664341793601,72.30240885501553,Crisis,1,0
Nicaragua,2024,54.64930862854587,Extra Trees,0.5804005916219772,Moderate,0,3.581,52.39178518412096,54.64930862854587,Unstable,0,1
Belize,2024,66.03188766122457,Extra Trees,0.5760620698351266,Moderate,0,3.505,45.7937429070738,66.03188766122457,Unstable,0,1
"Congo, Republic of",2024,52.20341240701486,Extra Trees,0.5722207216149503,Moderate,0,2.112,32.9843288650063,52.20341240701486,Moderate,0,1
Saudi Arabia,2024,54.86698828634077,Extra Trees,0.5585713434923955,Moderate,0,2.649,31.79740190883413,54.86698828634077,Moderate,0,1
"Afghanistan, Islamic Republic of",2024,35.42591873822178,Extra Trees,0.5579476312857407,Moderate,0,1.873,39.95847607222888,35.42591873822178,Unstable,0,1
"Mozambique, Republic of",2024,57.61651976483216,Extra Trees,0.5566561820711833,Moderate,0,2.149,39.514544833304825,57.61651976483216,Unstable,0,1
Mauritius,2024,69.02867880668941,Extra Trees,0.5480902890383467,Moderate,0,4.925,44.84502459466248,69.02867880668941,Unstable,0,1
"Lesotho, Kingdom of",2024,57.91103600788857,Extra Trees,0.5456206960993316,Moderate,0,4.9,46.55345638675196,57.91103600788857,Unstable,0,1
Turkmenistan,2024,56.21070032965502,Extra Trees,0.5425890618953408,Moderate,0,3.417,34.3483006642493,56.21070032965502,Unstable,0,1
Myanmar,2024,47.77487379373733,Extra Trees,0.54178355568521,Moderate,0,-0.972,45.540823627713614,47.77487379373733,Unstable,0,1
Portugal,2024,80.9446378864663,Extra Trees,0.5241368896399379,Moderate,0,2.215,47.968329624448565,80.9446378864663,Unstable,0,1
Italy,2024,57.56663069567889,Extra Trees,0.5175599995904397,Moderate,0,0.783,45.68848458650246,57.56663069567889,Unstable,0,1
