COUNTRY,YEAR,Linear Regression_Forecast,Elastic Net_Forecast,SVR_Forecast,Random Forest_Forecast,XGBoost_Forecast
"Afghanistan, Islamic Republic of",2024,1.107932196639689,1.6845036474493917,3.3561042847104163,2.493744531819328,3.0730548
"Afghanistan, Islamic Republic of",2025,1.4019748494731634,1.99401283640789,4.486222134777903,2.6658896867874025,2.4485266
Albania,2024,5.634012949235164,5.32062413164531,5.74317282939552,4.494872734174382,5.9803615
Albania,2025,3.916448980387637,3.852363101912031,4.009677153357068,3.958640611301522,4.1606607
Albania,2026,3.5241565712831653,3.478334799555458,3.51108171815335,3.5828552956950315,3.1221445
Algeria,2024,2.6462443456534572,2.7988965630816014,4.120990335250534,4.280676441684361,4.7182074
Algeria,2025,4.253683883841489,4.101601151292241,3.4576883022282905,3.644829186037623,3.900306
Algeria,2026,4.883016028188262,4.506351355863074,4.852540749532911,4.298127123701382,4.5154586
Angola,2024,3.377457650646384,3.464709181461365,2.005296935449103,2.303014079582782,3.3689854
Angola,2025,5.052638559897927,5.065946506490505,4.851216887772423,4.569095717829279,4.1552067
Angola,2026,3.6517358032038767,3.6522104674163565,3.2057560371713927,2.9195455353272384,3.6028008
Argentina,2024,3.202845419326721,2.8636592569421038,3.1267178078059192,0.9346268846282489,0.88050836
Argentina,2025,3.02974656771502,3.3932247635687336,5.077196507493646,-3.157367126170248,-0.2701348
Argentina,2026,2.9399409850913294,3.2396774110149753,4.875233626667293,3.7395919124783017,3.748244
"Armenia, Republic of",2024,7.531408015223125,7.073579154394556,7.865578063714843,7.611210211063743,7.8820176
"Armenia, Republic of",2025,7.15520507488127,6.673352875939508,6.616119411383627,5.396600191916264,5.9434724
"Armenia, Republic of",2026,5.9307882977683235,5.684846354228313,5.5060639037269095,6.1351221013095545,3.9989421
Australia,2024,3.0273300589912986,3.0578385464761437,2.9551487562581333,2.5415672186449525,2.928013
Australia,2025,2.4141703474332905,2.455915405297008,1.6241521048320595,2.1361622412774723,1.5093421
Australia,2026,1.9408549096043015,2.1384671501158965,1.9329763194327554,1.9414528582919743,1.4613767
Austria,2024,3.7042896228250553,3.4892928560384577,2.417298676259903,2.7982331458585783,3.5853364
Austria,2025,2.508821404756744,2.5054326873130037,2.320434074856281,1.8962436130473592,1.1911399
Austria,2026,1.4800667094675526,1.7128683045901134,1.1354168236162936,1.816645011928169,1.285488
"Azerbaijan, Republic of",2024,2.108275387883838,2.4440083849101804,3.4598724637078817,3.9636683094765535,2.7788315
"Azerbaijan, Republic of",2025,3.7960923384390735,3.9795549769202463,3.1178114059565893,3.8469140128727166,2.9245625
"Azerbaijan, Republic of",2026,2.4329700683569806,2.7863920081530376,2.65708030456208,2.3581644404581885,2.3572242
"Bahamas, The",2024,7.229569138519919,6.666871131126839,5.340783443276484,3.56370258373458,5.071417
"Bahamas, The",2025,5.734370520428991,5.301021001382238,3.9465733578435582,3.5004008316887947,3.5531702
"Bahamas, The",2026,3.348859600608179,3.248986595533119,2.7085775559511958,2.8196464461072153,3.01345
"Bahrain, Kingdom of",2024,4.466033981145459,4.181913837122901,3.4119017919996963,2.539422033565689,1.8593128
"Bahrain, Kingdom of",2025,3.7398787203324875,3.6603852730407835,2.5244658334463086,2.6735043598295443,2.467089
"Bahrain, Kingdom of",2026,3.9552092699891626,3.599090070134081,2.896955199404533,2.450550634549429,2.2341857
Bangladesh,2024,4.965766184768772,4.806611343211715,5.7818562615598745,5.444369005912842,5.5075827
Bangladesh,2025,4.022304236860649,4.0437559062005715,4.599451312421562,4.179355569498973,3.678007
Bangladesh,2026,3.611105816915309,3.637422619215421,3.781444071975434,3.451971813078057,3.701676
Barbados,2024,5.7346487407592095,5.176219796409117,3.569327613415121,1.7093572029199189,2.3922408
Barbados,2025,5.07628566841345,4.780723963255497,4.498650906613545,3.2076974701507597,4.449334
Barbados,2026,3.086948503413839,3.1113066595751797,2.6510994109005113,2.859339728078519,2.8441834
"Belarus, Republic of",2024,2.0595438800957773,2.408658247326393,3.7126986920132765,3.312669734153305,3.600565
"Belarus, Republic of",2025,3.1008820936211414,3.28681063256815,3.181689808587814,2.9410589317174023,2.848136
"Belarus, Republic of",2026,3.1810913236071134,3.088457485183751,1.9284790696302587,2.425557847280551,2.1343606
Belgium,2024,4.922636509520763,4.5365022526402345,4.140027521817102,2.7261342886086246,3.5134358
Belgium,2025,2.9795418699008316,2.9951829271411086,3.0330138150279295,2.0531648485164045,2.2688072
Belgium,2026,1.649143282093339,1.8417270832470587,1.3642633294771862,1.3149021806335635,0.5395702
Belize,2024,6.758852781875776,6.072119112548075,5.023920529650741,2.9639633954144635,4.7398977
Belize,2025,3.837153079726063,3.7621264703563213,3.6010663505568745,3.5199604166462963,3.1688483
Belize,2026,2.9606253060737084,2.954143353436359,2.132638148950795,2.145361067587798,2.0669475
Benin,2024,5.503267492328888,5.26087825445715,6.669248185830538,6.429566220807168,6.4735184
Benin,2025,5.816153334315935,5.625265712167524,6.49943287205121,6.478038060809801,6.3949246
Benin,2026,5.482960775019688,5.318598576422524,7.23458829990927,6.477917745471019,6.819597
Bhutan,2024,3.5949251139874185,3.8269751877360036,4.201342765405885,2.7610038997149586,3.4732425
Bhutan,2025,5.759611049195306,5.625460437099474,4.979150169731344,5.265645871428544,6.0351233
Bhutan,2026,5.24817527035033,5.424348147348075,5.894137797672696,6.159943898925898,6.041585
Bolivia,2024,4.2888862089106725,3.988939297047029,3.29046762017683,2.7110609811161948,1.7652694
Bolivia,2025,2.338383621642416,2.339867268266195,0.991904634990131,1.3127069810424574,0.79869324
Bolivia,2026,2.17657512067595,2.1783015742593244,0.9064746832002237,1.4015731859618052,-0.08466092
Bosnia and Herzegovina,2024,4.870627094922411,4.515213197444708,4.1118972322380145,2.9133444682840186,3.3140178
Bosnia and Herzegovina,2025,3.772019803230817,3.683490928079906,3.9776274130561493,3.0450562705348214,3.4099538
Bosnia and Herzegovina,2026,2.47278082982237,2.5447190912641844,2.2884311268490585,2.2350312359510762,1.8232905
Botswana,2024,5.965990430247321,5.497559891596664,4.877302740611397,2.8934965698356128,3.0731366
Botswana,2025,3.485328514687997,3.2801668466731453,3.2685321164512224,1.7904477804700953,2.5562887
Botswana,2026,1.6392976524046459,1.9200899596256151,3.09669070567211,1.9169626291351363,1.0135001
Brazil,2024,3.88314803472554,3.7309148815165454,4.0278175215716985,3.26004250997926,3.6577897
Brazil,2025,3.4332919155566954,3.4095430064054293,3.8221704635981286,3.471532679944818,3.4941468
Brazil,2026,2.7357105429053186,2.739893004031395,2.4232290524022053,2.6640588561375025,2.2342002
Brunei Darussalam,2024,1.1648194559051919,1.4923645542963677,1.9881056395085017,1.9089505479335211,1.2386217
Brunei Darussalam,2025,3.3836907983316236,3.2653632348757173,3.768970426167858,2.717945874701239,2.843681
Brunei Darussalam,2026,3.0848920198597067,2.8500767476127127,2.757836899325845,1.8499003115468884,1.3747387
Bulgaria,2024,4.692521184340638,4.421756111196877,3.3989980384554053,2.8019510302122925,3.353765
Bulgaria,2025,4.275382351753501,4.141484151835065,3.8464849229131866,3.360908756718852,3.5654802
Bulgaria,2026,2.3928747827043013,2.6156325661088804,3.0284319192202105,2.963147939142087,2.6340053
Burkina Faso,2024,5.292271115600326,4.901339096533462,4.07869523334184,3.3113669047240863,4.374553
Burkina Faso,2025,4.478024197004241,4.368987711665341,4.565470622535184,4.041629919305218,4.578557
Burkina Faso,2026,5.195663111759636,4.9913552678604045,4.7106329244929315,4.307028776130249,4.7700543
Burundi,2024,3.772763967684353,3.765485102716798,3.4786049518964903,2.8391108370897067,3.3348103
Burundi,2025,5.091927193686798,4.898292579866985,3.2499237969158328,4.122657315401437,3.9526997
Burundi,2026,4.201377753312574,4.276742376588878,5.111599726587211,4.602521507479001,6.4787226
Cabo Verde,2024,6.824991541333005,6.345849266515762,6.669090863980749,4.466341549267837,3.8461156
Cabo Verde,2025,7.707828068919248,7.116095129285975,7.494949314593152,6.146464147509601,6.452577
Cabo Verde,2026,5.340337175097989,5.08753217284938,5.683034760845885,5.1276025798666724,6.527788
Cambodia,2024,4.997038833623991,5.172953794345738,4.721147262157115,4.743912152961905,3.7808638
Cambodia,2025,4.495355247809666,4.719430656306556,5.707118516759165,4.938344934114756,5.374402
Cambodia,2026,3.995697274200545,4.065479605031854,5.090323615559446,4.325092316930179,4.3499756
Cameroon,2024,3.6732167924707633,3.6530964721505215,3.475601328479664,3.4246570948605815,2.7829015
