COUNTRY,YEAR,LSTM_Forecast
"Afghanistan, Islamic Republic of",2024,0.64140105
"Afghanistan, Islamic Republic of",2025,-1.1294508
Albania,2024,4.365195
Albania,2025,4.6341105
Albania,2026,4.542422
Algeria,2024,3.6996512
Algeria,2025,2.9746706
Algeria,2026,3.4209633
Angola,2024,3.4484954
Angola,2025,4.3014355
Angola,2026,3.5992565
Argentina,2024,0.2685883
Argentina,2025,3.9383497
Argentina,2026,4.4796476
"Armenia, Republic of",2024,4.6951523
"Armenia, Republic of",2025,4.2879972
"Armenia, Republic of",2026,4.7147665
Australia,2024,4.782267
Australia,2025,3.6416905
Australia,2026,2.9546678
Austria,2024,3.386266
Austria,2025,3.045995
Austria,2026,2.6186733
"Azerbaijan, Republic of",2024,1.8635049
"Azerbaijan, Republic of",2025,1.9258947
"Azerbaijan, Republic of",2026,2.3385744
"Bahamas, The",2024,2.0182095
"Bahamas, The",2025,3.962811
"Bahamas, The",2026,4.6490135
"Bahrain, Kingdom of",2024,3.143786
"Bahrain, Kingdom of",2025,2.9464211
"Bahrain, Kingdom of",2026,3.580111
Bangladesh,2024,5.051082
Bangladesh,2025,4.415396
Bangladesh,2026,4.240861
Barbados,2024,3.550404
Barbados,2025,3.8106368
Barbados,2026,4.237994
"Belarus, Republic of",2024,2.6365607
"Belarus, Republic of",2025,3.169394
"Belarus, Republic of",2026,3.4438014
Belgium,2024,3.906103
Belgium,2025,3.588648
Belgium,2026,3.0716963
Belize,2024,4.3418093
Belize,2025,3.785608
Belize,2026,3.6796274
Benin,2024,5.0099792
Benin,2025,5.474774
Benin,2026,6.3519993
Bhutan,2024,2.6200671
Bhutan,2025,4.097043
Bhutan,2026,5.57369
Bolivia,2024,2.8962774
Bolivia,2025,2.3571682
Bolivia,2026,1.455261
Bosnia and Herzegovina,2024,3.4302151
Bosnia and Herzegovina,2025,3.9438112
Bosnia and Herzegovina,2026,3.8170915
Botswana,2024,3.2081184
Botswana,2025,2.9692638
Botswana,2026,0.42409682
Brazil,2024,4.3436766
Brazil,2025,3.9167762
Brazil,2026,3.4285495
Brunei Darussalam,2024,2.0207474
Brunei Darussalam,2025,2.5964537
Brunei Darussalam,2026,2.9010158
Bulgaria,2024,3.3318248
Bulgaria,2025,3.6335518
Bulgaria,2026,3.7247994
Burkina Faso,2024,3.5063066
Burkina Faso,2025,4.798732
Burkina Faso,2026,5.0999236
Burundi,2024,3.3363435
Burundi,2025,4.0559325
Burundi,2026,3.8214002
Cabo Verde,2024,3.1956604
Cabo Verde,2025,3.7333968
Cabo Verde,2026,4.901222
Cambodia,2024,4.4571214
Cambodia,2025,4.804236
Cambodia,2026,5.786352
Cameroon,2024,3.370696
Cameroon,2025,3.8414094
Cameroon,2026,3.7989235
Canada,2024,5.1846285
Canada,2025,4.071475
Canada,2026,3.3182225
Central African Republic,2024,2.0683784
Central African Republic,2025,3.4777522
Central African Republic,2026,3.8127654
Chad,2024,3.4679646
Chad,2025,3.802999
Chad,2026,4.722423
Chile,2024,3.054363
Chile,2025,3.269631
Chile,2026,3.604918
"China, People's Republic of",2024,4.617767
"China, People's Republic of",2025,4.8998914
"China, People's Republic of",2026,5.815865
Colombia,2024,3.9334855
Colombia,2025,3.429878
Colombia,2026,3.6921084
"Comoros, Union of the",2024,2.2429194
"Comoros, Union of the",2025,3.3934705
"Comoros, Union of the",2026,4.064931
"Congo, Democratic Republic of the",2024,4.586789
"Congo, Democratic Republic of the",2025,5.06759
"Congo, Democratic Republic of the",2026,5.6383467
"Congo, Republic of",2024,3.0386178
"Congo, Republic of",2025,2.7873058
"Congo, Republic of",2026,2.86321
Costa Rica,2024,4.7900567
Costa Rica,2025,4.94699
Costa Rica,2026,5.0772815
"Croatia, Republic of",2024,4.1712966
"Croatia, Republic of",2025,4.4192863
"Croatia, Republic of",2026,4.0740676
Cyprus,2024,5.252954
Cyprus,2025,5.061654
Cyprus,2026,4.586114
Czech Republic,2024,2.1239529
Czech Republic,2025,3.1217222
Czech Republic,2026,3.7678971
Côte d'Ivoire,2024,4.846324
Côte d'Ivoire,2025,5.911338
Côte d'Ivoire,2026,6.469745
Denmark,2024,2.8639083
Denmark,2025,3.3316817
Denmark,2026,3.4536135
Djibouti,2024,4.2661443
Djibouti,2025,5.1975408
Djibouti,2026,6.260213
Dominica,2024,4.0411077
Dominica,2025,2.4567523
Dominica,2026,5.0098457
Dominican Republic,2024,3.87153
Dominican Republic,2025,4.160259
Dominican Republic,2026,3.8193464
Ecuador,2024,3.6432834
Ecuador,2025,3.1581774
Ecuador,2026,3.3795712
"Egypt, Arab Republic of",2024,3.7937164
"Egypt, Arab Republic of",2025,3.284696
"Egypt, Arab Republic of",2026,4.3833613
El Salvador,2024,3.4329119
El Salvador,2025,3.9270747
El Salvador,2026,4.3900356
"Equatorial Guinea, Republic of",2024,-3.8222198
"Equatorial Guinea, Republic of",2025,-2.3834844
"Equatorial Guinea, Republic of",2026,-3.809988
"Estonia, Republic of",2024,1.711787
"Estonia, Republic of",2025,1.7103477
"Estonia, Republic of",2026,2.2536974
"Eswatini, Kingdom of",2024,3.2648726
"Eswatini, Kingdom of",2025,3.1402855
"Eswatini, Kingdom of",2026,3.5698218
"Ethiopia, The Federal Democratic Republic of",2024,5.5459304
"Ethiopia, The Federal Democratic Republic of",2025,5.9070287
"Ethiopia, The Federal Democratic Republic of",2026,6.2650623
Finland,2024,1.6443751
Finland,2025,1.9948034
Finland,2026,2.1057086
France,2024,3.5675986
France,2025,3.1288974
France,2026,3.3259172
Gabon,2024,3.315356
Gabon,2025,3.7132087
Gabon,2026,2.6496344
"Gambia, The",2024,1.5059383
"Gambia, The",2025,2.3756344
"Gambia, The",2026,4.4253693
Georgia,2024,5.417674
Georgia,2025,6.173004
Georgia,2026,6.3677177
Germany,2024,2.8751357
Germany,2025,2.7120943
Germany,2026,2.58476
Ghana,2024,4.8827906
Ghana,2025,5.3105636
Ghana,2026,5.6526146
Greece,2024,4.63055
Greece,2025,4.8506656
Greece,2026,4.757432
Guatemala,2024,3.788691
Guatemala,2025,3.9277155
Guatemala,2026,4.333018
Guinea,2024,3.8581624
Guinea,2025,3.1431077
Guinea,2026,4.6596594
Guinea-Bissau,2024,3.2283757
Guinea-Bissau,2025,3.5799224
Guinea-Bissau,2026,5.108281
Guyana,2024,10.151512
Guyana,2025,9.702089
Guyana,2026,9.2229595
Haiti,2024,0.37543702
Haiti,2025,1.7763
Haiti,2026,1.8085394
Honduras,2024,4.161028
Honduras,2025,4.369592
Honduras,2026,4.1752915
"Hong Kong Special Administrative Region, People's Republic of China",2024,2.565301
"Hong Kong Special Administrative Region, People's Republic of China",2025,2.5929484
"Hong Kong Special Administrative Region, People's Republic of China",2026,3.424981
Hungary,2024,1.9009476
Hungary,2025,2.9986892
Hungary,2026,3.276558
Iceland,2024,4.8710723
Iceland,2025,3.5648823
Iceland,2026,3.5308561
India,2024,5.478345
India,2025,5.672025
India,2026,6.389258
Indonesia,2024,3.7654412
Indonesia,2025,4.070566
Indonesia,2026,4.6828256
"Iran, Islamic Republic of",2024,3.650631
"Iran, Islamic Republic of",2025,2.6330562
"Iran, Islamic Republic of",2026,1.2642088
Ireland,2024,3.111085
Ireland,2025,3.2303915
Ireland,2026,3.766357
Israel,2024,4.071339
Israel,2025,3.6294727
Israel,2026,3.5055146
Italy,2024,3.7330263
Italy,2025,4.0125375
Italy,2026,3.7025573
Jamaica,2024,3.7660642
Jamaica,2025,3.3209739
Jamaica,2026,2.941283
Japan,2024,3.6557999
Japan,2025,3.5157156
Japan,2026,3.5797238
Jordan,2024,3.2313566
Jordan,2025,3.5053933
Jordan,2026,3.7004032
"Kazakhstan, Republic of",2024,3.9656134
"Kazakhstan, Republic of",2025,3.6066973
"Kazakhstan, Republic of",2026,4.2418623
Kenya,2024,4.5147457
Kenya,2025,4.7946734
Kenya,2026,4.995138
Kiribati,2024,1.5998447
Kiribati,2025,1.8326442
Kiribati,2026,1.9702232
"Korea, Republic of",2024,2.9692435
"Korea, Republic of",2025,3.3103728
"Korea, Republic of",2026,2.9499373
"Kosovo, Republic of",2024,3.5337262
"Kosovo, Republic of",2025,4.296076
"Kosovo, Republic of",2026,4.379525
Kuwait,2024,2.656983
Kuwait,2025,1.6276176
Kuwait,2026,-0.508523
Kyrgyz Republic,2024,4.1733603
Kyrgyz Republic,2025,5.5962033
Kyrgyz Republic,2026,5.855416
Lao People's Democratic Republic,2024,2.3115907
Lao People's Democratic Republic,2025,3.0241504
Lao People's Democratic Republic,2026,3.3486474
"Latvia, Republic of",2024,2.10749
"Latvia, Republic of",2025,2.9671519
"Latvia, Republic of",2026,3.0521772
Lebanon,2024,3.222392
Lebanon,2025,2.167954
"Lesotho, Kingdom of",2024,3.220016
"Lesotho, Kingdom of",2025,4.5910854
"Lesotho, Kingdom of",2026,4.411827
Liberia,2024,3.1117573
Liberia,2025,3.0401127
Liberia,2026,3.7688353
Libya,2024,1.7166915
Libya,2025,1.5453203
Libya,2026,2.4193459
"Lithuania, Republic of",2024,1.7523115
"Lithuania, Republic of",2025,3.6860359
"Lithuania, Republic of",2026,4.0300117
Luxembourg,2024,3.152755
Luxembourg,2025,2.817753
Luxembourg,2026,2.3694158
"Madagascar, Republic of",2024,2.7139611
"Madagascar, Republic of",2025,3.6590312
"Madagascar, Republic of",2026,3.7993877
Malawi,2024,1.7512708
Malawi,2025,2.4105928
Malawi,2026,3.370005
Malaysia,2024,3.6458764
Malaysia,2025,4.0723615
Malaysia,2026,4.3612404
Maldives,2024,3.238299
Maldives,2025,3.2862792
Maldives,2026,5.1483965
Mali,2024,4.0798273
Mali,2025,4.7779913
Mali,2026,4.5720663
Malta,2024,4.4577594
Malta,2025,4.5274916
Malta,2026,4.640375
"Mauritania, Islamic Republic of",2024,3.4089994
"Mauritania, Islamic Republic of",2025,4.029737
"Mauritania, Islamic Republic of",2026,4.9332643
Mauritius,2024,3.8708096
Mauritius,2025,4.0559363
Mauritius,2026,4.0671124
Mexico,2024,3.6395206
Mexico,2025,3.2390118
Mexico,2026,3.054456
"Moldova, Republic of",2024,1.7353954
"Moldova, Republic of",2025,0.93636036
"Moldova, Republic of",2026,2.8939652
Mongolia,2024,5.110428
Mongolia,2025,3.8140602
Mongolia,2026,3.894863
Montenegro,2024,3.582368
Montenegro,2025,4.146007
Montenegro,2026,3.3570418
Morocco,2024,3.5899348
Morocco,2025,4.0664635
Morocco,2026,4.7024226
"Mozambique, Republic of",2024,2.2165675
