COUNTRY,YEAR,Predicted_GDP_Growth,Forecast_Model,Scenario_Type,Crisis_Probability,Risk_Level,Early_Warning_Flag,IMF_GDP_Growth,Prediction_Error
Albania,2026,3.309944510581855,Random Forest,2026 IMF projection comparison year,0.1526895318427213,Low,0,3.409,0.099055489418145
Algeria,2026,4.141893071573997,Random Forest,2026 IMF projection comparison year,0.5680692033521856,Moderate,0,3.777,-0.3648930715739968
Angola,2026,3.025116579418537,Random Forest,2026 IMF projection comparison year,0.1642894698466411,Low,0,2.294,-0.7311165794185368
Argentina,2026,3.512250683826334,Random Forest,2026 IMF projection comparison year,0.3098037882744514,Moderate,0,3.5,-0.012250683826334
"Armenia, Republic of",2026,4.393129414068281,Random Forest,2026 IMF projection comparison year,0.1917855032386696,Low,0,5.3,0.9068705859317188
Australia,2026,1.8358189194111727,Random Forest,2026 IMF projection comparison year,0.1972669978212083,Low,0,2.009,0.1731810805888267
Austria,2026,1.6940902864145877,Random Forest,2026 IMF projection comparison year,0.2683578018153227,Low,0,0.682,-1.012090286414587
"Azerbaijan, Republic of",2026,2.8911802141164102,Random Forest,2026 IMF projection comparison year,0.3529040529681371,Moderate,0,2.217,-0.6741802141164102
"Bahamas, The",2026,2.3396458034671497,Random Forest,2026 IMF projection comparison year,0.2787732099192481,Low,0,2.1,-0.2396458034671496
"Bahrain, Kingdom of",2026,1.491612823834409,Random Forest,2026 IMF projection comparison year,0.2955483548300707,Low,0,-0.499,-1.9906128238344087
Bangladesh,2026,4.350926494151537,Random Forest,2026 IMF projection comparison year,0.2809196712816822,Low,0,4.693,0.3420735058484627
Barbados,2026,2.663691793362025,Random Forest,2026 IMF projection comparison year,0.296934510850807,Low,0,2.465,-0.1986917933620251
"Belarus, Republic of",2026,2.093265202958105,Random Forest,2026 IMF projection comparison year,0.1462773857978745,Low,0,1.22,-0.8732652029581052
Belgium,2026,1.1617430617571516,Random Forest,2026 IMF projection comparison year,0.2382123243407276,Low,0,0.661,-0.5007430617571516
Belize,2026,2.5967961808348834,Random Forest,2026 IMF projection comparison year,0.2606932562872047,Low,0,2.192,-0.4047961808348832
Benin,2026,5.755505453519953,Random Forest,2026 IMF projection comparison year,0.3612565650523556,Moderate,0,6.972,1.2164945464800478
Bhutan,2026,6.888452111622616,Random Forest,2026 IMF projection comparison year,0.4257984097253921,Moderate,0,7.478,0.5895478883773837
Bolivia,2026,1.0500394136296485,Random Forest,2026 IMF projection comparison year,0.268180443177746,Low,0,-3.285,-4.335039413629648
Bosnia and Herzegovina,2026,2.5730134013922497,Random Forest,2026 IMF projection comparison year,0.3448120711987804,Moderate,0,2.2,-0.3730134013922495
Botswana,2026,2.1262554855268765,Random Forest,2026 IMF projection comparison year,0.6166579744709051,High,1,4.749,2.622744514473123
Brazil,2026,2.069159235103337,Random Forest,2026 IMF projection comparison year,0.2631276624254259,Low,0,1.911,-0.1581592351033371
Brunei Darussalam,2026,2.4117694546508166,Random Forest,2026 IMF projection comparison year,0.3329771438406647,Moderate,0,2.6,0.1882305453491835
Bulgaria,2026,2.778152959143883,Random Forest,2026 IMF projection comparison year,0.5039658540578703,Moderate,0,2.773,-0.0051529591438828
Burkina Faso,2026,4.270450400314723,Random Forest,2026 IMF projection comparison year,0.2724565412431016,Low,0,4.858,0.5875495996852766
Burundi,2026,4.126085955336339,Random Forest,2026 IMF projection comparison year,0.3146298472566458,Moderate,0,3.819,-0.3070859553363387
Cabo Verde,2026,4.564333691182525,Random Forest,2026 IMF projection comparison year,0.4842243365766425,Moderate,0,4.787,0.2226663088174749
Cambodia,2026,4.275402383202644,Random Forest,2026 IMF projection comparison year,0.2279532379887674,Low,0,4.022,-0.2534023832026442
Cameroon,2026,3.2207600865175485,Random Forest,2026 IMF projection comparison year,0.1311349142871042,Low,0,3.344,0.1232399134824513
Canada,2026,1.548451188735921,Random Forest,2026 IMF projection comparison year,0.2571716332442748,Low,0,1.5,-0.0484511887359209
Central African Republic,2026,2.953109622145969,Random Forest,2026 IMF projection comparison year,0.6238723768881617,High,1,2.613,-0.3401096221459689
Chad,2026,4.17135889133634,Random Forest,2026 IMF projection comparison year,0.2836412206485004,Low,0,5.23,1.05864110866366
Chile,2026,2.6668931807707623,Random Forest,2026 IMF projection comparison year,0.1360899574893593,Low,0,2.396,-0.2708931807707624
"China, People's Republic of",2026,4.009131259378763,Random Forest,2026 IMF projection comparison year,0.3359754119107074,Moderate,0,4.413,0.4038687406212373
Colombia,2026,2.5068410596720234,Random Forest,2026 IMF projection comparison year,0.1405555538345079,Low,0,2.342,-0.1648410596720233
"Comoros, Union of the",2026,4.047120626053617,Random Forest,2026 IMF projection comparison year,0.3785886651767513,Moderate,0,4.083,0.0358793739463827
"Congo, Democratic Republic of the",2026,4.319264328876503,Random Forest,2026 IMF projection comparison year,0.4772761866015909,Moderate,0,5.901,1.5817356711234971
"Congo, Republic of",2026,2.6635383674109265,Random Forest,2026 IMF projection comparison year,0.2752685184553327,Low,0,2.837,0.1734616325890736
Costa Rica,2026,3.338268138228245,Random Forest,2026 IMF projection comparison year,0.2696095447485666,Low,0,3.56,0.2217318617717545
"Croatia, Republic of",2026,2.7543830962771447,Random Forest,2026 IMF projection comparison year,0.182344134892762,Low,0,2.638,-0.1163830962771448
Cyprus,2026,2.998546254990679,Random Forest,2026 IMF projection comparison year,0.4599475974864043,Moderate,0,2.953,-0.0455462549906791
Czech Republic,2026,2.36573168441665,Random Forest,2026 IMF projection comparison year,0.3745444982140337,Moderate,0,2.234,-0.1317316844166498
Côte d'Ivoire,2026,5.364033494936152,Random Forest,2026 IMF projection comparison year,0.4009214405310082,Moderate,0,6.2,0.8359665050638485
Denmark,2026,2.137850565708198,Random Forest,2026 IMF projection comparison year,0.3499552820232423,Moderate,0,2.0,-0.1378505657081978
