COUNTRY,YEAR,GDP_Growth,GDP_Growth_lag1,GDP_Growth_rollmean3
"Equatorial Guinea, Republic of",1998,24.815,147.973,75.72033333333333
"Equatorial Guinea, Republic of",1999,26.395,24.815,75.15533333333333
"Equatorial Guinea, Republic of",2000,110.505,26.395,66.39433333333334
"Equatorial Guinea, Republic of",2002,19.621,60.023,65.641
"Equatorial Guinea, Republic of",2003,14.455,19.621,63.383
"Equatorial Guinea, Republic of",2001,60.023,110.505,53.905
Guyana,2025,19.309,43.776,46.95966666666667
Guyana,2023,33.769,63.334,42.29133333333333
Bosnia and Herzegovina,1995,20.696,20.696,41.437
Bosnia and Herzegovina,1997,22.853,62.178,41.437
Bosnia and Herzegovina,1996,62.178,20.696,41.437
"Equatorial Guinea, Republic of",1996,52.678,26.51,39.594
"Equatorial Guinea, Republic of",1995,26.51,26.51,39.594
"Equatorial Guinea, Republic of",1997,147.973,52.678,39.594
Guyana,2024,43.776,33.769,39.05433333333334
Bosnia and Herzegovina,1998,13.814,22.853,35.242333333333335
Bosnia and Herzegovina,1999,10.75,13.814,32.94833333333333
Guyana,2026,16.168,19.309,32.284666666666666
"Equatorial Guinea, Republic of",2004,30.391,14.455,31.366333333333333
"Azerbaijan, Republic of",2008,10.77,25.0,28.622
