COUNTRY,YEAR,RF_Forecast,RF_Lower_95,RF_Upper_95,RF_CI_Width,XGB_Forecast,XGB_Lower_95,XGB_Upper_95,XGB_CI_Width,Ensemble_Forecast,Ensemble_Lower_95,Ensemble_Upper_95
"Afghanistan, Islamic Republic of",2024,2.9215705172596533,-2.807853448275862,6.865226764705879,9.673080212981741,2.5733306,2.573329448699951,2.573329448699951,0.0,2.74745057902625,-0.11726199978795537,4.719278106702915
"Afghanistan, Islamic Republic of",2025,3.1554877130208725,-2.263803125,8.142813333333331,10.406616458333332,2.7879305,2.787929058074951,2.787929058074951,0.0,2.971709100803649,0.26206296653747563,5.465371195704141
Albania,2024,4.966096264062344,0.5550388235294119,8.477866299019606,7.922827475490195,4.6296687,4.629666328430176,4.629666328430176,0.0,4.797882488339155,2.5923525759797936,6.553766313724891
Albania,2025,3.787320434285069,1.000235,6.142472975708501,5.142237975708501,3.877449,3.8774499893188477,3.8774499893188477,0.0,3.8323847349648004,2.438842494659424,5.009961482513674
Albania,2026,3.2450830962796395,0.7748260416666667,5.28499375,4.510167708333333,3.5329807,3.5329782962799072,3.5329782962799072,0.0,3.389031888372669,2.153902168973287,4.408986023139954
Algeria,2024,4.423971250708578,-0.1674606481481483,7.625876923076922,7.793337571225071,4.1580176,4.158012866973877,4.158012866973877,0.0,4.290994443027019,1.9952761094128644,5.8919448950254
Algeria,2025,2.9602321669448415,-1.1749969696969698,6.497643333333332,7.672640303030302,3.1036978,3.103695869445801,3.103695869445801,0.0,3.0319649718696375,0.9643494498744155,4.800669601389567
Algeria,2026,4.322253877446904,-0.23572499999999985,8.307980952380948,8.543705952380948,4.027702,4.0276994705200195,4.0276994705200195,0.0,4.1749778660763575,1.8959872352600098,6.167840211450484
Angola,2024,2.575378082268228,-2.731307754010695,7.944127972027972,10.675435726038668,2.7785447,2.7785425186157227,2.7785425186157227,0.0,2.6769613733255815,0.023617382302513867,5.361335245321847
Angola,2025,4.902495294814981,0.9807827272727274,8.386246874999998,7.405464147727271,4.2412086,4.241204261779785,4.241204261779785,0.0,4.571851924064595,2.610993494526256,6.313725568389891
Angola,2026,3.1622116137475103,-0.8824244071146246,7.075844607843138,7.958269014957763,3.4372666,3.4372687339782715,3.4372687339782715,0.0,3.299739100979285,1.2774221634318235,5.2565566709107046
Argentina,2024,1.49012538264882,-8.945888863636364,9.872747139588098,18.818636003224462,0.8952463,0.8952460289001465,0.8952460289001465,0.0,1.1926858547860952,-4.025321417368109,5.383996584244122
Argentina,2025,0.6130145215620564,-8.972831919642857,7.859208482142855,16.83204040178571,-0.66995245,-0.6699526309967041,-0.6699526309967041,0.0,-0.028468965310356698,-4.821392275319781,3.5946279255730755
Argentina,2026,3.9822771631313327,-0.5515573529411764,7.760253227272724,8.3118105802139,3.997336,3.99733304977417,3.99733304977417,0.0,3.9898065369642257,1.7228878484164967,5.878793138523447
"Armenia, Republic of",2024,7.731091288418,2.1432095588235294,11.847041666666666,9.703832107843137,7.1777897,7.177780628204346,7.177780628204346,0.0,7.454440488264176,4.660495093513937,9.512411147435506
"Armenia, Republic of",2025,5.7999293002667995,0.6569707459207463,8.674933231368186,8.01796248544744,5.3385396,5.338543891906738,5.338543891906738,0.0,5.569234450319557,2.9977573189137425,7.006738561637462
"Armenia, Republic of",2026,6.151302640891384,1.4353349999999998,9.615558235294106,8.180223235294106,5.3611217,5.361124515533447,5.361124515533447,0.0,5.756212147700941,3.3982297577667238,7.488341375413777
Australia,2024,3.182013072011327,-0.6993884615384615,6.551244384615382,7.250632846153843,2.9999497,2.9999496936798096,2.9999496936798096,0.0,3.0909813828455683,1.150280616070674,4.775597039147596
Australia,2025,1.3623893226174133,-2.435851136363636,4.238311363636361,6.674162499999998,2.3705435,2.3705410957336426,2.3705410957336426,0.0,1.8664664012684233,-0.032655020314996674,3.304426229685002
Australia,2026,2.020208160267167,0.02231268115942032,3.858686538461538,3.8363738573021178,2.178211,2.1782126426696777,2.1782126426696777,0.0,2.0992095670033954,1.100262661914549,3.018449590565608
Austria,2024,2.883036937318401,-1.9943939542483657,7.1489916666666655,9.143385620915032,2.859416,2.859414577484131,2.859414577484131,0.0,2.8712264726570034,0.43251031161788256,5.004203122075398
Austria,2025,1.6298322102134488,-2.3405944664031617,4.874375,7.214969466403161,2.1928134,2.192814826965332,2.192814826965332,0.0,1.9113228033336531,-0.07388981971891484,3.533594913482666
Austria,2026,1.2234713101466212,-1.3012953124999997,3.395379910714282,4.696675223214282,2.0614588,2.061457633972168,2.061457633972168,0.0,1.6424650681058424,0.3800811607360841,2.728418772343225
"Azerbaijan, Republic of",2024,3.764378159818368,-2.1207839743589747,8.539615165441173,10.660399139800148,3.5959866,3.595987558364868,3.595987558364868,0.0,3.68018238225446,0.7376017920029467,6.067801361903021
"Azerbaijan, Republic of",2025,3.5660093930976102,0.11607191176470599,6.986555454545452,6.870483542780746,3.8561394,3.8561365604400635,3.8561365604400635,0.0,3.7110744072803117,1.9861042361023848,5.421346007492758
"Azerbaijan, Republic of",2026,1.7382563167659093,-2.081033088235294,6.266549038461536,8.34758212669683,2.4535685,2.4535703659057617,2.4535703659057617,0.0,2.095912387661519,0.18626863883523392,4.360059702183649
"Bahamas, The",2024,4.838056141064428,-2.093176136363636,9.873122523219813,11.96629865958345,4.2235503,4.223554611206055,4.223554611206055,0.0,4.530803230368029,1.0651892374212093,7.048338567212934
"Bahamas, The",2025,4.284253818736511,0.014671153846153993,7.718957205882348,7.704286052036194,3.8575418,3.8575384616851807,3.8575384616851807,0.0,4.0708978091409,1.9361048077656673,5.788247833783764
"Bahamas, The",2026,2.4947133272161004,-0.3421283333333333,5.2833110248447195,5.625439358178053,3.0770998,3.077100992202759,3.077100992202759,0.0,2.785906563662982,1.3674863294347128,4.180206008523739
"Bahrain, Kingdom of",2024,3.1374534657350273,-2.6292295454545465,8.261994198564592,10.891223744019138,3.3127353,3.3127360343933105,3.3127360343933105,0.0,3.2250943924363003,0.34175324446938204,5.787365116478951
"Bahrain, Kingdom of",2025,2.463851662799554,-1.5526716666666667,5.929598809523805,7.482270476190472,2.6450315,2.6450304985046387,2.6450304985046387,0.0,2.5544415574892545,0.546179415918986,4.287314654014222
"Bahrain, Kingdom of",2026,2.10122412613794,-2.468628598484849,6.493216227180526,8.961844825665375,2.535596,2.5355939865112305,2.5355939865112305,0.0,2.3184100099989013,0.033482694013190706,4.514405106845878
Bangladesh,2024,5.224293940689042,2.083531428571429,7.713506924019608,5.629975495448179,5.0021424,5.002145767211914,5.002145767211914,0.0,5.113218185020424,3.5428385978916714,6.357826345615761
Bangladesh,2025,3.705667437973097,0.6283359523809524,6.303547571428566,5.675211619047613,4.08313,4.0831298828125,4.0831298828125,0.0,3.8943986603927985,2.3557329175967263,5.193338727120533
Bangladesh,2026,3.7920578085346603,1.4180305555555557,5.829527833333334,4.411497277777778,3.384427,3.38442325592041,3.38442325592041,0.0,3.588242439576168,2.4012269057379827,4.606975544626872
Barbados,2024,1.0975650745870305,-5.0437034615384615,8.466934420289851,13.510637881828313,1.140739,1.140737771987915,1.140737771987915,0.0,1.1191520193339204,-1.9514828447752732,4.803836096138883
Barbados,2025,4.334666067646156,-0.437814375,8.596493333333333,9.034307708333333,4.0336604,4.033657550811768,4.033657550811768,0.0,4.184163239740436,1.7979215879058839,6.31507544207255
Barbados,2026,2.874767019919807,0.0921520312500001,6.189566071428566,6.097414040178566,3.0328796,3.0328798294067383,3.0328798294067383,0.0,2.953823305453983,1.562515930328369,4.611222950417652
"Belarus, Republic of",2024,3.295705450160774,-1.1660446120689656,6.492191007905139,7.658235619974104,3.3837478,3.38374662399292,3.38374662399292,0.0,3.339726633123295,1.1088510059619772,4.937968815949029
"Belarus, Republic of",2025,2.5970807767174153,-0.3347982972136222,5.14590133333333,5.480699630546952,3.0833123,3.083310604095459,3.083310604095459,0.0,2.8401965248714642,1.3742561534409183,4.114605968714395
"Belarus, Republic of",2026,2.312449975381318,-1.2657768849206348,5.453742595108695,6.71951948002933,2.884046,2.8840456008911133,2.8840456008911133,0.0,2.5982480265547947,0.8091343579852392,4.168894097999904
